,gap,plot,gap_type,spp,count,tph,vrp_baf3,n,baf,x_site_open,trans_tot,x_trans_tot,lai_4_ring,lai_5_ring,ms,ts,wd,gs,sb,fb,sl,rk,df,near_distance,azimuth1,azimuth_T,objectid,aspect_dem11,aspect_dem21,aspect_dem51,aspect_dem101,slope_dem_1m1,slope_dem2m1,slope_dem_5m1,slope_dem_10m1,zonal_unit,ss1,twi_10m,twi_5m,twi_2m,twi_1mfina,dem1,dem2,dem5,dem10,aspect_dem11T,aspect_dem21T,aspect_dem51T,aspect_dem101T,OBJECTID,Join_Count,TARGET_FID,Gap_area
13,105,418,N,Sx,1,1000,NA,NA,NA,36.33,14.65,50.04,0.8,0.87,5,0,10,45,15,5,0,0,20,3.32,322,1.788010754,418,75.4585,89.7904,92.4688,102.98,21.4466,18.2493,11.2185,10.4017,IDFdk3,8,9.6115,5.96944,2.90604,2.06268,903.568,903.524,903.673,903.524,1.251081179,1.003658202,0.956924644,0.775389079,105,9,105,1.131988392
14,105,570,N,Fd,1,1000,NA,NA,NA,14.91,6.9,23.55,1.79,2.27,0,0,10,15,15,10,0,0,50,1.7,214.99,0.18074786,570,104.121,103.11,143.712,161.838,5.99789,5.12433,2.69963,2.97828,IDFdk3,8,7.07311,6.71484,3.9826,2.75607,900.765,900.73,900.814,900.73,0.756029528,0.773178705,0.193947744,0.049821009,105,9,105,1.131988392
15,106,41,S,At,1,1000,NA,NA,NA,28.95,13.02,44.48,1.14,1.28,20,0,5,35,25,5,0,0,10,0.81,9.46,1.986400586,41,327.173,274.654,254.238,220.804,5.35222,9.30383,7.64351,7.92159,IDFdk3,8,7.43114,5.50031,3.87951,3.91835,903.366,903.392,903.283,903.392,1.840311236,1.081138331,0.72835798,0.243050564,106,2,106,0.16120763
16,106,41,S,Fd,7,7000,3Fd,3,9,28.95,13.02,44.48,1.14,1.28,20,0,5,35,25,5,0,0,10,0.81,9.46,1.986400586,41,327.173,274.654,254.238,220.804,5.35222,9.30383,7.64351,7.92159,IDFdk3,8,7.43114,5.50031,3.87951,3.91835,903.366,903.392,903.283,903.392,1.840311236,1.081138331,0.72835798,0.243050564,106,2,106,0.16120763
17,106,492,S,At,1,1000,NA,NA,NA,51.62,20.07,68.55,0.33,0.5,0,0,5,25,35,15,0,0,20,2.24,60.28,1.495761848,492,124.006,122.767,112.054,110.736,8.53147,9.00057,8.62536,7.50251,IDFdk3,8,4.68719,1.91479,2.89593,3.12799,904.846,904.786,904.921,904.786,0.440720283,0.458776011,0.624519723,0.645937469,106,2,106,0.16120763
18,106,492,S,Fd,3,3000,2Fd,2,6,51.62,20.07,68.55,0.33,0.5,0,0,5,25,35,15,0,0,20,2.24,60.28,1.495761848,492,124.006,122.767,112.054,110.736,8.53147,9.00057,8.62536,7.50251,IDFdk3,8,4.68719,1.91479,2.89593,3.12799,904.846,904.786,904.921,904.786,0.440720283,0.458776011,0.624519723,0.645937469,106,2,106,0.16120763
19,108,254,S,Fd,3,3000,4Fd,4,12,33.52,13.19,45.03,1.06,1.01,5,5,15,20,20,15,0,0,20,0.88,338.12,1.927966395,254,343.313,339.6,347.793,343.323,16.4019,19.1736,19.4738,19.0654,IDFdk3,8,4.84784,4.35189,3.6581,2.01829,797.437,797.738,797.094,797.738,1.95788767,1.937281989,1.977390069,1.957937772,108,1,108,0.10144519
20,111,180,S,Fd,31,31000,5Fd,5,15,32.49,16.37,55.92,1.05,1.05,25,5,5,25,10,25,0,0,5,1.14,265.6,0.923280972,180,296.524,299.904,308.742,315.887,18.222,19.7204,17.0994,17.5256,IDFdk3,1,4.89252,4.0599,5.18047,4.07085,804.094,804.32,803.862,804.32,1.446572643,1.498548259,1.625814574,1.717968382,111,15,111,1.504300554
21,111,19,S,Ep,1,1000,NA,NA,NA,42.71,16.74,57.18,0.63,0.71,5,5,75,0,5,0,5,5,0,0.93,106.08,0.723020739,19,25.2122,22.1939,12.0497,7.65695,31.2019,21.4253,19.3316,19.6768,IDFdk3,8,8.03439,8.8184,3.03367,2.03709,802.651,802.799,802.183,802.799,1.904736371,1.925910806,1.977966884,1.991083592,111,15,111,1.504300554
22,111,19,S,Fd,3,3000,4Fd,4,12,42.71,16.74,57.18,0.63,0.71,5,5,75,0,5,0,5,5,0,0.93,106.08,0.723020739,19,25.2122,22.1939,12.0497,7.65695,31.2019,21.4253,19.3316,19.6768,IDFdk3,8,8.03439,8.8184,3.03367,2.03709,802.651,802.799,802.183,802.799,1.904736371,1.925910806,1.977966884,1.991083592,111,15,111,1.504300554
23,111,272,S,Ep,4,4000,NA,NA,NA,46.34,21.55,73.59,0.53,0.63,0,5,15,50,15,10,0,0,5,1,335.51,1.910033635,272,25.7037,18.9549,18.2678,18.4208,29.4838,24.8301,20.6038,21.8695,IDFdk3,8,4.51002,4.10386,3.49522,2.60465,796.688,796.705,795.798,796.705,1.901049015,1.945774552,1.94960179,1.94876136,111,15,111,1.504300554
24,111,272,S,Fd,1,1000,2Fd,2,6,46.34,21.55,73.59,0.53,0.63,0,5,15,50,15,10,0,0,5,1,335.51,1.910033635,272,25.7037,18.9549,18.2678,18.4208,29.4838,24.8301,20.6038,21.8695,IDFdk3,8,4.51002,4.10386,3.49522,2.60465,796.688,796.705,795.798,796.705,1.901049015,1.945774552,1.94960179,1.94876136,111,15,111,1.504300554
25,111,272,S,Sx,6,6000,NA,NA,NA,46.34,21.55,73.59,0.53,0.63,0,5,15,50,15,10,0,0,5,1,335.51,1.910033635,272,25.7037,18.9549,18.2678,18.4208,29.4838,24.8301,20.6038,21.8695,IDFdk3,8,4.51002,4.10386,3.49522,2.60465,796.688,796.705,795.798,796.705,1.901049015,1.945774552,1.94960179,1.94876136,111,15,111,1.504300554
26,111,3,S,Ep,3,3000,NA,NA,NA,45.99,17.13,58.5,0.42,0.65,0,0,20,40,20,5,10,5,0,0.27,90,1,3,350.738,352.975,9.70013,0.991685,5.49384,8.75177,11.4533,12.9777,IDFdk3,8,4.35143,4.73571,4.54735,4.66501,788.541,788.642,788.41,788.642,1.986962679,1.992492882,1.985703087,1.999850217,111,15,111,1.504300554
27,111,314,S,Fd,2,2000, 5Fd,5,15,30.39,16.86,57.57,1.21,1.11,30,0,0,10,20,25,0,0,15,1.74,187.59,0.008761392,314,18.1745,5.50172,6.76449,8.28518,10.7233,12.5571,17.4573,18.3608,IDFdk3,8,7.246,6.11913,7.86184,4.57745,797.729,797.883,797.272,797.883,1.950110965,1.995393321,1.9930387,1.989563095,111,15,111,1.504300554
28,111,393,S,Fd,3,3000,7Fd,7,21,41.93,15.99,54.6,0.82,0.71,10,0,35,20,10,15,0,0,10,1.04,65.73,1.411037093,393,332.729,334.601,342.552,339.633,13.8502,14.4764,15.5658,16.7466,IDFdk3,1,4.7617,5.11374,3.21916,2.61599,804.687,804.799,804.383,804.799,1.888849262,1.903342779,1.95398947,1.937482597,111,15,111,1.504300554
29,111,394,S,Fd,16,16000,3Fd,3,9,45.87,20.93,71.46,0.62,0.65,25,10,5,15,5,15,10,0,15,3.69,279.46,1.164359008,394,2.07149,2.39001,3.61965,6.50295,28.1777,26.6471,23.2533,22.1315,IDFdk3,8,4.14273,4.25642,3.82457,4.35975,799.648,799.776,798.763,799.776,1.999346504,1.999130116,1.998005135,1.993566026,111,15,111,1.504300554
30,111,413,S,Fd,6,6000,2Fd,2,6,41.99,19.77,67.53,0.56,0.78,5,10,25,20,5,10,0,0,25,1,60.76,1.488468955,413,17.8054,9.24652,8.29332,7.65695,17.9168,24.8255,21.589,19.6768,IDFdk3,8,7.48764,5.88933,3.51461,1.86327,801.09,801.427,801.302,801.427,1.952100577,1.987006128,1.989542613,1.991083592,111,15,111,1.504300554
31,111,413,S,Sx,2,2000,NA,NA,NA,41.99,19.77,67.53,0.56,0.78,5,10,25,20,5,10,0,0,25,1,60.76,1.488468955,413,17.8054,9.24652,8.29332,7.65695,17.9168,24.8255,21.589,19.6768,IDFdk3,8,7.48764,5.88933,3.51461,1.86327,801.09,801.427,801.302,801.427,1.952100577,1.987006128,1.989542613,1.991083592,111,15,111,1.504300554
32,111,425,S,Ep,1,1000,NA,NA,NA,58.08,22.86,78.07,0.31,0.36,5,5,15,25,40,5,0,0,5,4.03,307.92,1.614560605,425,356.232,358.743,3.58722,4.18004,19.1347,19.1525,18.6833,19.0152,IDFdk3,8,7.91346,5.37553,5.42654,5.01518,800.96,801.258,800.479,801.258,1.997838327,1.999759354,1.998040709,1.997339931,111,15,111,1.504300554
33,111,425,S,Fd,2,2000,NA,NA,NA,58.08,22.86,78.07,0.31,0.36,5,5,15,25,40,5,0,0,5,4.03,307.92,1.614560605,425,356.232,358.743,3.58722,4.18004,19.1347,19.1525,18.6833,19.0152,IDFdk3,8,7.91346,5.37553,5.42654,5.01518,800.96,801.258,800.479,801.258,1.997838327,1.999759354,1.998040709,1.997339931,111,15,111,1.504300554
34,111,425,S,Sx,1,1000,NA,NA,NA,58.08,22.86,78.07,0.31,0.36,5,5,15,25,40,5,0,0,5,4.03,307.92,1.614560605,425,356.232,358.743,3.58722,4.18004,19.1347,19.1525,18.6833,19.0152,IDFdk3,8,7.91346,5.37553,5.42654,5.01518,800.96,801.258,800.479,801.258,1.997838327,1.999759354,1.998040709,1.997339931,111,15,111,1.504300554
35,111,474,N,Fd,2,2000,1Fd,1,3,22.06,11.73,40.06,1.71,1.58,10,25,10,15,20,10,0,0,10,1.22,281.31,1.196117291,474,21.2368,15.5682,7.39553,9.24629,13.8887,21.1241,18.091,18.9649,IDFdk3,1,7.71842,7.9237,3.94155,3.80125,806.48,806.728,805.94,806.728,1.932091344,1.963311673,1.991681208,1.987006773,111,15,111,1.504300554
36,111,487,S,Fd,3,3000,3Fd ,3,9,54.93,19.97,68.2,0.41,0.43,5,0,10,30,25,25,0,0,5,0.69,288.19,1.312169112,487,20.557,20.553,22.0346,20.0288,27.5484,26.3984,23.9604,22.5344,IDFdk3,8,11.5568,9.24089,7.99555,5.75366,796.739,797.097,796.85,797.097,1.936323326,1.936347838,1.926957467,1.939520584,111,15,111,1.504300554
37,111,89,S,Fd,1,1000,11Fd,11,33,27.74,5.51,18.81,1.51,1.41,5,5,30,15,5,15,0,0,25,1.79,79.7,1.178802215,89,314.842,335.163,343.395,335.148,16.4542,12.0216,12.6585,14.7569,IDFdk3,8,4.80353,3.34831,3.22157,2.44257,796.813,796.875,796.612,796.875,1.705154163,1.907506419,1.95829764,1.907396422,111,15,111,1.504300554
38,112,144,S,Ep,1,1000,NA,NA,NA,36.05,18.45,63.01,0.79,0.97,5,0,5,65,0,25,0,0,0,2.11,0,2,144,1.09721,3.53745,4.37124,356.901,20.758,23.5988,22.2199,23.5797,IDFdk3,1,3.89721,3.66166,3.42458,3.51813,810.535,810.611,809.858,810.611,1.999816646,1.998094682,1.997091136,1.998537614,112,6,112,0.787859616
39,112,144,S,Sx,1,1000,NA,NA,NA,36.05,18.45,63.01,0.79,0.97,5,0,5,65,0,25,0,0,0,2.11,0,2,144,1.09721,3.53745,4.37124,356.901,20.758,23.5988,22.2199,23.5797,IDFdk3,1,3.89721,3.66166,3.42458,3.51813,810.535,810.611,809.858,810.611,1.999816646,1.998094682,1.997091136,1.998537614,112,6,112,0.787859616
40,112,278,S,Ep,1,1000,NA,NA,NA,38.86,15.15,51.75,0.72,0.92,0,0,0,75,10,15,0,0,0,1.61,2.43,1.999100767,278,6.61,349.867,345.721,339.967,12.9177,12.2784,13.6262,15.9123,IDFdk3,1,8.59401,4.87104,2.78607,2.41478,802.113,802.301,802.216,802.301,1.99335269,1.984402013,1.969106196,1.939495475,112,6,112,0.787859616
41,112,278,S,Fd,2,2000,NA,NA,NA,38.86,15.15,51.75,0.72,0.92,0,0,0,75,10,15,0,0,0,1.61,2.43,1.999100767,278,6.61,349.867,345.721,339.967,12.9177,12.2784,13.6262,15.9123,IDFdk3,1,8.59401,4.87104,2.78607,2.41478,802.113,802.301,802.216,802.301,1.99335269,1.984402013,1.969106196,1.939495475,112,6,112,0.787859616
42,112,278,S,Sx,1,1000,1Sx,1,3,38.86,15.15,51.75,0.72,0.92,0,0,0,75,10,15,0,0,0,1.61,2.43,1.999100767,278,6.61,349.867,345.721,339.967,12.9177,12.2784,13.6262,15.9123,IDFdk3,1,8.59401,4.87104,2.78607,2.41478,802.113,802.301,802.216,802.301,1.99335269,1.984402013,1.969106196,1.939495475,112,6,112,0.787859616
43,112,29,S,Fd,3,3000,1Fd,1,3,47.3,21.36,72.95,0.5,0.58,5,5,5,20,35,15,0,0,15,1.19,117.49,0.538406206,29,338.734,344.087,334.598,333.834,25.0084,25.2687,20.7967,20.9691,IDFdk3,1,7.37796,6.15292,3.96016,3.51715,807.051,807.108,806.389,807.108,1.931906621,1.961679125,1.90332032,1.897520207,112,6,112,0.787859616
44,112,421,S,Fd,4,4000,7Fd,7,21,34.4,15.16,51.76,0.93,0.94,5,0,50,15,5,10,0,0,15,0.09,90,1,421,351.225,337.106,332.101,336.931,17.0946,18.54,16.3541,17.3464,IDFdk3,8,7.76355,7.27557,3.31272,2.95493,799.08,799.389,799.221,799.389,1.98829504,1.921226149,1.883773797,1.920033637,112,6,112,0.787859616
45,112,421,S,Sx,1,1000,1Sx,1,3,34.4,15.16,51.76,0.93,0.94,5,0,50,15,5,10,0,0,15,0.09,90,1,421,351.225,337.106,332.101,336.931,17.0946,18.54,16.3541,17.3464,IDFdk3,8,7.76355,7.27557,3.31272,2.95493,799.08,799.389,799.221,799.389,1.98829504,1.921226149,1.883773797,1.920033637,112,6,112,0.787859616
46,113,14,S,Fd,1,1000,7Fd,7,21,58.93,21.95,74.97,0.31,0.39,0,0,40,30,15,5,0,0,10,3.53,153.42,0.10568952,14,343.81,340.858,338.704,339.631,21.1045,23.4004,23.0571,21.9207,IDFdk3,1,4.70789,3.77798,2.76999,3.1519,831.023,831.405,830.333,831.405,1.960342364,1.944708795,1.931716585,1.937470448,113,2,113,0.242192883
47,113,347,S,Fd,7,7000,6Fd,6,18,50.13,19.63,67.05,0.54,0.57,10,0,10,20,30,10,20,0,0,3.92,261.87,0.858580412,347,329.599,325.85,329.901,331.132,24.8022,23.9011,21.8232,20.9321,IDFdk3,1,7.28412,8.1938,2.89748,3.68275,831.286,831.517,831.501,831.517,1.862504837,1.82757077,1.865160173,1.875734306,113,2,113,0.242192883
48,115,101,S,At,4,4000,NA,NA,NA,42.96,19.75,67.46,0.61,0.75,30,0,5,40,5,20,0,0,0,0.76,0,2,101,340.682,340.45,333.109,331.879,25.9644,24.2771,22.8765,23.4805,IDFdk3,1,7.89227,8.70399,3.2814,7.73918,829.467,829.541,828.914,829.541,1.943697071,1.942349831,1.891868587,1.881954172,115,16,115,2.724607033
49,115,101,S,Ep,3,3000,NA,NA,NA,42.96,19.75,67.46,0.61,0.75,30,0,5,40,5,20,0,0,0,0.76,0,2,101,340.682,340.45,333.109,331.879,25.9644,24.2771,22.8765,23.4805,IDFdk3,1,7.89227,8.70399,3.2814,7.73918,829.467,829.541,828.914,829.541,1.943697071,1.942349831,1.891868587,1.881954172,115,16,115,2.724607033
50,115,101,S,Fd,7,7000,NA,NA,NA,42.96,19.75,67.46,0.61,0.75,30,0,5,40,5,20,0,0,0,0.76,0,2,101,340.682,340.45,333.109,331.879,25.9644,24.2771,22.8765,23.4805,IDFdk3,1,7.89227,8.70399,3.2814,7.73918,829.467,829.541,828.914,829.541,1.943697071,1.942349831,1.891868587,1.881954172,115,16,115,2.724607033
51,115,116,S,At,1,1000,NA,NA,NA,31.06,15.42,52.66,1.2,1.17,5,0,0,70,5,20,0,0,0,1.35,286.5,1.284015345,116,351.587,353.539,350.858,355.984,43.5156,42.7797,43.9736,41.0496,IDFdk3,5,7.00768,7.8682,4.17233,4.35641,875.398,876.094,874.65,876.094,1.989239162,1.99364868,1.987297606,1.997544532,115,16,115,2.724607033
52,115,116,S,Ep,1,1000,NA,NA,NA,31.06,15.42,52.66,1.2,1.17,5,0,0,70,5,20,0,0,0,1.35,286.5,1.284015345,116,351.587,353.539,350.858,355.984,43.5156,42.7797,43.9736,41.0496,IDFdk3,5,7.00768,7.8682,4.17233,4.35641,875.398,876.094,874.65,876.094,1.989239162,1.99364868,1.987297606,1.997544532,115,16,115,2.724607033
53,115,152,N,Fd,5,5000,3Fd,3,9,23.49,9.72,33.18,1.68,1.4,65,0,0,20,0,15,0,0,0,3,8.89,1.987986853,152,8.04516,9.9613,11.4951,11.9951,39.8823,39.2754,39.4002,38.4428,IDFdk3,5,4.83816,4.18075,3.06789,2.92766,872.326,872.486,871.113,872.486,1.990158066,1.984924818,1.979941751,1.978165378,115,16,115,2.724607033
54,115,231,S,Ep,5,5000,NA,NA,NA,38.62,18.65,63.68,0.77,0.88,35,0,5,50,5,5,0,0,0,1.51,128.1,0.382964125,231,336.307,340.135,342.956,344.694,36.7077,35.3111,35.6489,36.7412,IDFdk3,5,6.64037,4.73339,7.32208,1.68316,861.199,861.441,861.044,861.441,1.915711694,1.940495878,1.956079949,1.96452978,115,16,115,2.724607033
55,115,251,S,Fd,1,1000,4Fd,4,12,30.97,13.17,44.98,1.15,1.15,0,0,50,5,5,15,5,0,25,1.73,74.05,1.274798392,251,334.824,337.138,344.095,346.63,21.2239,19.7259,20.9586,22.4638,IDFdk3,5,10.4007,11.1449,3.90278,3.86982,845.772,845.819,845.455,845.819,1.905005323,1.92144328,1.961717398,1.972897088,115,16,115,2.724607033
56,115,270,S,At,2,2000,NA,NA,NA,34.83,15.11,51.59,1.01,1.09,5,0,0,70,10,15,0,0,0,0.13,56.07,1.558179626,270,338.812,339.103,347.096,340.947,33.6588,33.0439,35.3115,30.5855,IDFdk3,5,4.33472,3.50764,2.7071,3.86573,858.915,859.424,858.27,859.424,1.932399519,1.934223152,1.974745606,1.945217013,115,16,115,2.724607033
57,115,290,S,Fd,1,1000,6Fd,6,18,31.67,15.17,51.81,1.05,1.1,0,0,60,5,10,10,0,0,15,1.73,299.43,1.491359853,290,341.134,350.111,347.743,346.63,18.4576,20.9139,22.2652,22.4638,IDFdk3,5,7.08375,4.83171,3.44378,3.53442,846.681,846.976,846.716,846.976,1.946277409,1.985142316,1.977205177,1.972897088,115,16,115,2.724607033
58,115,315,S,Ep,3,3000,1Ep,1,3,32.56,14.27,48.74,1.12,1.07,20,0,20,30,10,20,0,0,0,0.28,90,1,315,0.152755,0.266546,356.193,353.758,28.6164,28.9459,27.7419,25.3692,IDFdk3,5,6.42483,7.14596,6.89796,7.29626,847.714,848.164,847.724,848.164,1.999996446,1.999989179,1.997793364,1.994071529,115,16,115,2.724607033
59,115,315,S,Fd,32,32000,6Fd,6,18,32.56,14.27,48.74,1.12,1.07,20,0,20,30,10,20,0,0,0,0.28,90,1,315,0.152755,0.266546,356.193,353.758,28.6164,28.9459,27.7419,25.3692,IDFdk3,5,6.42483,7.14596,6.89796,7.29626,847.714,848.164,847.724,848.164,1.999996446,1.999989179,1.997793364,1.994071529,115,16,115,2.724607033
60,115,353,S,At,3,3000,NA,NA,NA,24.92,9.96,34.01,1.65,1.38,50,0,0,20,5,25,0,0,0,1.49,189.46,0.013599414,353,310.509,319.538,318.3,336.196,23.6295,25.3016,27.0562,29.0781,IDFdk3,5,5.25703,4.52543,6.0028,3.86721,871.233,871.607,871.677,871.607,1.649567485,1.760836529,1.746638182,1.914931493,115,16,115,2.724607033
61,115,36,N,Fd,1,1000,4Fd,4,12,25.46,12.81,43.75,1.42,1.45,60,0,0,20,5,15,0,0,0,1.81,160.02,0.060188049,36,341.322,346.806,352.702,0.630282,33.7346,34.7968,33.6044,32.1744,IDFdk3,5,6.39534,4.48516,4.20775,2.77443,866.715,866.834,866.243,866.834,1.947333314,1.97360281,1.991898877,1.999939495,115,16,115,2.724607033
62,115,419,S,Fd,4,4000,6Fd,6,18,26.53,11.98,40.91,1.3,1.32,20,0,35,20,5,20,0,0,0,0.49,185.71,0.00496178,419,356.777,355.318,356.139,355.493,25.3903,26.6327,27.8669,27.3179,IDFdk3,5,9.7735,9.81799,5.83784,5.59204,849.002,849.372,849.165,849.372,1.998418276,1.996663079,1.997730344,1.996907741,115,16,115,2.724607033
63,115,461,N,Fd,1,1000,7Fd,7,21,44.49,18.05,61.63,0.71,0.68,10,0,0,70,5,10,0,5,0,2.64,339.98,1.939573176,461,328.653,329.945,339.426,339.531,17.3567,20.4172,23.5727,22.4251,IDFdk3,5,8.85577,8.99338,3.2286,6.11593,840.211,840.244,840.221,840.244,1.854032379,1.865545039,1.9362191,1.936861533,115,16,115,2.724607033
64,115,564,N,Fd,2,2000,4Fd,4,12,58.61,23.97,81.85,0.07,0.34,10,0,10,65,0,15,0,0,0,0.05,3.86,1.997731519,564,0.610015,357.792,359.497,355.297,21.9281,22.9033,22.5959,21.7229,IDFdk3,1,4.928,4.70628,4.56493,5.3886,831.066,831.191,831.109,831.191,1.999943324,1.999257547,1.999961465,1.996633095,115,16,115,2.724607033
65,115,86,S,Fd,6,6000,1Fd,1,3,17.26,7.92,27.04,1.84,1.89,0,0,5,50,15,20,0,0,10,4.49,86.9,1.054078813,86,301.22,313.392,318.012,333.814,22.3453,20.0366,19.6588,18.9381,IDFdk3,1,8.58733,10.7296,4.28838,5.18141,833.606,833.735,833.149,833.735,1.518325556,1.686986055,1.743284952,1.897366223,115,16,115,2.724607033
66,118,259,N,At,4,4000,1At,1,3,16.59,6.36,21.71,1.95,1.88,30,0,5,15,20,10,0,0,20,0.01,136.76,0.271509454,259,79.9816,51.9743,56.223,60.3383,23.8051,23.3787,17.6212,19.0312,IDFdk3,5,10.6657,10.7954,11.7998,4.54811,853.907,854.126,854.329,854.126,1.17396443,1.616014875,1.555961992,1.494877911,118,5,118,0.268791924
67,118,294,N,Ep,3,3000,NA,NA,NA,20.48,7.68,26.21,1.68,1.6,40,0,20,10,10,5,0,0,15,0.08,210.26,0.136252433,294,24.1097,29.8934,36.9956,47.6149,19.2021,17.5186,26.2176,30.621,IDFdk3,5,7.08472,6.77881,4.49675,3.60651,853.648,853.919,853.584,853.919,1.912765035,1.866954165,1.798681724,1.674110326,118,5,118,0.268791924
